סוג_מבנה,סוג_הזמנה,סוג_חיבור,חיבור_קיים,חיבור_מבוקש,גודל_חיבור,התקנת_מונים,גודל_חיבור_ציבורי,מספר_יחידות,עלות_הזמנה,עלות_חפירה,עלות_בדיקת_מתקן,סהכ_לפני_מעמ,מעמ,סהכ_כולל,endpoint
מגורים,הגדלת חיבור קיים,,1X25,1X35,,,,,1436.69,0.00,545.35,1982.04,356.77,2338.81,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,1X40,,,,,3105.94,0.00,545.35,3651.29,657.23,4308.52,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X25,,,,,3105.94,0.00,545.35,3651.29,657.23,4308.52,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X35,,,,,4357.88,0.00,545.35,4903.23,882.58,5785.81,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X40,,,,,4992.92,0.00,545.35,5538.27,996.89,6535.15,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X50,,,,,6244.85,0.00,545.35,6790.20,1222.24,8012.44,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X63,,,,,7877.81,0.00,545.35,8423.16,1516.17,9939.33,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X80,,,,,10000.66,0.00,545.35,10546.01,1898.28,12444.29,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X100,,,,,12522.68,0.00,545.35,13068.03,2352.24,15420.27,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X125,,,,,15661.59,0.00,545.35,16206.94,2917.25,19124.19,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X160,,,,,20052.44,0.00,545.35,20597.79,3707.60,24305.39,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X200,,,,,25078.32,0.00,545.35,25623.67,4612.26,30235.94,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X250,,,,,31356.15,0.00,545.35,31901.50,5742.27,37643.77,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X315,,,,,39520.95,0.00,545.35,40066.30,7211.93,47278.23,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X400,,,,,50225.91,0.00,545.35,50771.26,9138.83,59910.08,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X500,,,,,62745.27,0.00,545.35,63290.62,11392.31,74682.93,sumExtensionOfExsiting
מגורים,הגדלת חיבור קיים,,1X25,3X630,,,,,79074.87,0.00,545.35,79620.22,14331.64,93951.86,sumExtensionOfExsiting
